Date Start,Date End,Open,High,Low,Close,Volume,Market Cap
"Aug 16, 2023","Aug 17, 2023","$ 1,830.31","$ 1,832.00","$ 1,806.82","$ 1,810.24",$ 8.66B,$ 219.72B
"Aug 15, 2023","Aug 16, 2023","$ 1,843.28","$ 1,844.89","$ 1,823.73","$ 1,829.73",$ 8.26B,$ 221.44B
"Aug 14, 2023","Aug 15, 2023","$ 1,840.43","$ 1,852.07","$ 1,836.08","$ 1,843.42",$ 8.76B,$ 222.17B
"Aug 13, 2023","Aug 14, 2023","$ 1,847.78","$ 1,855.25","$ 1,838.68","$ 1,840.19",$ 5.63B,$ 222.46B
"Aug 12, 2023","Aug 13, 2023","$ 1,848.89","$ 1,854.56","$ 1,845.17","$ 1,847.38",$ 5.99B,$ 222.81B
"Aug 11, 2023","Aug 12, 2023","$ 1,851.94","$ 1,855.73","$ 1,842.07","$ 1,849.38",$ 6.86B,$ 222.60B
"Aug 10, 2023","Aug 11, 2023","$ 1,856.56","$ 1,864.15","$ 1,847.62","$ 1,852.80",$ 7.90B,$ 223.19B
"Aug 09, 2023","Aug 10, 2023","$ 1,858.22","$ 1,870.22","$ 1,847.59","$ 1,856.88",$ 10.42B,$ 223.70B
"Aug 08, 2023","Aug 09, 2023","$ 1,830.53","$ 1,872.63","$ 1,827.98","$ 1,856.62",$ 11.95B,$ 221.87B
"Aug 07, 2023","Aug 08, 2023","$ 1,863.20","$ 1,872.49","$ 1,810.76","$ 1,828.98",$ 11.33B,$ 221.63B
"Aug 06, 2023","Aug 07, 2023","$ 1,865.28","$ 1,881.99","$ 1,859.18","$ 1,859.40",$ 14.47B,$ 225.37B
"Aug 05, 2023","Aug 06, 2023","$ 1,831.35","$ 1,871.26","$ 1,827.73","$ 1,866.43",$ 11.51B,$ 221.96B
"Aug 04, 2023","Aug 05, 2023","$ 1,839.50","$ 1,847.69","$ 1,822.78","$ 1,831.85",$ 12.29B,$ 221.18B
"Aug 03, 2023","Aug 04, 2023","$ 1,839.52","$ 1,855.18","$ 1,828.67","$ 1,835.61",$ 13.65B,$ 221.55B
"Aug 02, 2023","Aug 03, 2023","$ 1,873.60","$ 1,877.27","$ 1,827.54","$ 1,836.72",$ 15.23B,$ 223.03B
"Aug 01, 2023","Aug 02, 2023","$ 1,856.22","$ 1,869.42","$ 1,824.73","$ 1,869.42",$ 11.97B,$ 221.67B
"Jul 31, 2023","Aug 01, 2023","$ 1,862.11","$ 1,878.31","$ 1,853.53","$ 1,859.29",$ 11.44B,$ 224.68B
