Date,Open,High,Low,Close,Volume,High_Low_Diff,Close_Change
"Mar 3, 2022",292.92,295.48,277.53,279.76,"61,623,600",17.950000000000045,0.11809755573846115
"Mar 2, 2022",290.71,295.49,281.42,293.3,"74,643,300",14.069999999999993,4.8398627394909965
"Mar 1, 2022",289.89,296.63,284.59,288.12,"74,766,900",12.04000000000002,-1.7661097852028629
"Feb 28, 2022",271.67,292.29,271.57,290.14,"99,006,900",20.720000000000027,0.7010967652367084
"Feb 25, 2022",269.74,273.17,260.8,269.96,"76,067,700",12.370000000000005,-6.955262976494114
"Feb 24, 2022",233.46,267.49,233.33,266.92,"135,322,200",34.16,-1.126092754482133
"Feb 23, 2022",276.81,278.43,253.52,254.68,"95,256,900",24.909999999999997,-4.585643638543391
"Feb 22, 2022",278.04,285.58,267.03,273.84,"83,288,100",18.55000000000001,7.523166326370334
"Feb 18, 2022",295.33,295.62,279.2,285.66,"68,501,700",16.420000000000016,4.3163891323400705
"Feb 17, 2022",304.42,306.17,291.37,292.12,"55,178,400",14.800000000000011,2.2614296716376048
"Feb 16, 2022",304.68,308.81,300.4,307.8,"51,294,300",8.410000000000025,5.367657127207992
"Feb 15, 2022",300.00,307.67,297.79,307.48,"57,286,200",9.879999999999995,-0.10396361273553589
"Feb 14, 2022",287.19,299.63,284.38,291.92,"67,756,500",15.25,-5.060491739300121
"Feb 11, 2022",303.21,305.32,283.57,286.67,"79,645,800",21.75,-1.7984379281995033
"Feb 10, 2022",302.79,314.6,298.9,301.52,"66,126,900",15.700000000000045,5.180172323577614
"Feb 9, 2022",311.67,315.42,306.67,310.67,"52,259,400",8.75,3.034624568851174
"Feb 8, 2022",301.84,308.76,298.27,307.33,"50,729,100",10.490000000000009,-1.0750957607751133
"Feb 7, 2022",307.93,315.92,300.9,302.45,"60,994,500",15.020000000000039,-1.5878697165912836
"Feb 4, 2022",299.07,312.17,293.72,307.77,"73,625,400",18.44999999999999,1.7589684245329806
"Feb 3, 2022",294.00,312.33,293.51,297.05,"78,855,600",18.819999999999993,-3.483120512070692
"Feb 2, 2022",309.39,310.5,296.47,301.89,"66,792,900",14.029999999999973,1.6293553273859507
"Feb 1, 2022",311.74,314.57,301.67,310.42,"73,138,200",12.899999999999977,2.8255324787174185
"Jan 31, 2022",290.90,312.66,287.35,312.24,"104,436,000",25.310000000000002,0.5863024289672003
"Jan 28, 2022",277.19,285.83,264.0,282.12,"134,789,100",21.829999999999984,-9.646425826287475
"Jan 27, 2022",311.12,311.8,276.33,276.37,"147,109,500",35.47000000000003,-2.038139798667238
"Jan 26, 2022",317.48,329.23,302.0,312.47,"104,867,400",27.230000000000018,13.06219922567573
"Jan 25, 2022",304.73,317.09,301.07,306.13,"86,595,900",16.019999999999982,-2.0289947834992272
"Jan 24, 2022",301.59,311.17,283.82,310.0,"151,565,700",27.350000000000023,1.2641688171691756
"Jan 21, 2022",332.11,334.85,313.5,314.63,"103,416,000",21.350000000000023,1.4935483870967659
"Jan 20, 2022",336.58,347.22,331.33,332.09,"70,488,600",15.890000000000043,5.549375456885852
"Jan 19, 2022",347.24,351.56,331.67,331.88,"75,442,500",19.889999999999986,-0.06323586979433138
"Jan 18, 2022",342.20,356.93,338.69,343.5,"66,743,400",18.24000000000001,3.501265517656993
"Jan 14, 2022",339.96,350.67,337.79,349.87,"72,924,300",12.879999999999995,1.8544395924308565
"Jan 13, 2022",369.69,371.87,342.18,343.85,"97,209,900",29.689999999999998,-1.720639094520815
"Jan 12, 2022",359.62,371.61,357.53,368.74,"83,739,000",14.080000000000041,7.23862149192962
"Jan 11, 2022",351.22,358.62,346.27,354.8,"66,063,300",12.350000000000023,-3.7804415034983996
"Jan 10, 2022",333.33,353.03,326.67,352.71,"91,815,000",26.359999999999957,-0.5890642615558161
"Jan 7, 2022",360.12,360.31,336.67,342.32,"84,164,700",23.639999999999986,-2.9457628079725517
"Jan 6, 2022",359.00,362.67,340.17,354.9,"90,336,600",22.5,3.674924047674688
"Jan 5, 2022",382.22,390.11,360.34,362.71,"80,119,800",29.77000000000004,2.200619892927591
"Jan 4, 2022",396.52,402.67,374.35,383.2,"100,248,300",28.319999999999993,5.6491411871743225
"Jan 3, 2022",382.58,400.36,378.68,399.93,"103,931,400",21.680000000000007,4.365866388308981
"Dec 31, 2021",357.81,360.67,351.53,352.26,"40,733,700",9.140000000000043,-11.919585927537323
"Dec 30, 2021",353.78,365.18,351.05,356.78,"47,040,900",14.129999999999995,1.2831431329131782
"Dec 29, 2021",366.21,368.0,354.71,362.06,"56,154,000",13.29000000000002,1.4799035820393547
"Dec 28, 2021",369.83,373.0,359.47,362.82,"60,324,000",13.529999999999973,0.20990995967518078
"Dec 27, 2021",357.89,372.33,356.91,364.65,"71,145,900",15.419999999999959,0.504382338349596
"Dec 23, 2021",335.60,357.66,332.52,355.67,"92,713,200",25.140000000000043,-2.4626354038118636
"Dec 22, 2021",321.89,338.55,319.02,336.29,"93,634,200",19.53000000000003,-5.448871144600331
"Dec 21, 2021",305.62,313.17,295.37,312.84,"71,517,900",17.80000000000001,-6.97314817568172
"Dec 20, 2021",303.57,307.23,297.8,299.98,"56,480,100",9.430000000000007,-4.110727528449032
"Dec 17, 2021",304.92,320.22,303.01,310.86,"100,437,300",17.210000000000036,3.626908460564038
"Dec 16, 2021",331.50,331.66,307.28,308.97,"82,771,500",24.380000000000052,-0.6079907353792713
"Dec 15, 2021",317.74,326.25,309.42,325.33,"75,169,200",16.829999999999984,5.295012460756698
"Dec 14, 2021",315.00,322.14,310.0,319.5,"70,806,300",12.139999999999986,-1.7920265576491512
"Dec 13, 2021",333.70,335.0,317.14,322.14,"78,595,500",17.860000000000014,0.8262910798122025
"Dec 10, 2021",336.25,340.33,327.51,339.01,"59,664,300",12.819999999999993,5.23685354193828
"Dec 9, 2021",353.55,354.16,334.12,334.6,"59,438,400",20.04000000000002,-1.3008465826966686
"Dec 8, 2021",350.90,357.46,344.33,356.32,"41,906,400",13.129999999999995,6.49133293484756
"Dec 7, 2021",348.07,352.56,342.27,350.58,"56,084,700",10.29000000000002,-1.6109115401885976
"Dec 6, 2021",333.84,340.55,316.83,336.34,"81,663,000",23.720000000000027,-4.061840378800852
"Dec 3, 2021",361.60,363.53,333.4,338.32,"92,322,000",30.129999999999995,0.5886900160551933
"Dec 2, 2021",366.35,371.0,352.22,361.53,"73,114,800",18.779999999999973,6.860368881532275
"Dec 1, 2021",386.90,390.95,363.59,365.0,"68,450,400",27.360000000000014,0.9598096976737747
"Nov 30, 2021",381.46,389.33,372.67,381.59,"81,276,000",16.659999999999968,4.545205479452052
"Nov 29, 2021",367.00,380.89,366.73,379.0,"58,393,500",14.159999999999968,-0.6787389606645822
"Nov 26, 2021",366.49,369.59,360.33,360.64,"35,042,700",9.259999999999991,-4.844327176781005
"Nov 24, 2021",360.13,377.59,354.0,372.0,"67,680,600",23.589999999999975,3.1499556344276813
"Nov 23, 2021",389.17,393.5,354.23,369.68,"108,515,100",39.26999999999998,-0.6236559139784936
"Nov 22, 2021",387.44,400.65,377.48,385.62,"99,217,500",23.16999999999996,4.311837264661333
"Nov 19, 2021",366.29,379.57,364.23,379.02,"64,926,900",15.339999999999975,-1.7115294849852192
"Nov 18, 2021",368.85,370.67,358.34,365.46,"62,696,700",12.330000000000041,-3.5776476175399696
"Nov 17, 2021",354.50,373.21,351.83,363.0,"94,336,200",21.379999999999995,-0.6731242817271332
"Nov 16, 2021",334.44,352.4,334.06,351.58,"79,627,200",18.339999999999975,-3.1460055096418804
"Nov 15, 2021",339.21,343.99,326.2,337.8,"104,326,800",17.79000000000002,-3.9194493429660304
"Nov 12, 2021",349.17,351.5,339.73,344.47,"76,719,300",11.769999999999982,1.974541148608644
"Nov 11, 2021",367.59,368.32,351.56,354.5,"67,189,800",16.75999999999999,2.911719453072825
"Nov 10, 2021",336.80,359.37,329.1,355.98,"128,408,100",30.269999999999982,0.4174894217207292
"Nov 9, 2021",391.20,391.5,337.17,341.17,"177,317,400",54.329999999999984,-4.160346086858812
"Nov 8, 2021",383.26,399.0,377.67,387.65,"100,337,100",21.329999999999984,13.62370665650554
"Nov 5, 2021",409.33,413.29,402.67,407.36,"64,886,400",10.620000000000005,5.084483425770681
"Nov 4, 2021",411.47,414.5,405.67,409.97,"76,192,200",8.829999999999984,0.6407109190887716
"Nov 3, 2021",392.44,405.13,384.21,404.62,"103,885,500",20.920000000000016,-1.3049735346488789
"Nov 2, 2021",386.45,402.86,382.0,390.67,"128,213,400",20.860000000000014,-3.4476793040383535
"Nov 1, 2021",381.67,403.25,372.89,402.86,"168,146,100",30.360000000000014,3.120280543681364
"Oct 29, 2021",360.62,371.74,357.74,371.33,"89,755,200",14.0,-7.826540237303292
"Oct 28, 2021",356.10,360.33,351.4,359.01,"81,639,600",8.930000000000007,-3.317803570947675
"Oct 27, 2021",346.55,356.96,343.59,345.95,"115,579,500",13.370000000000005,-3.6377816773906058
"Oct 26, 2021",341.56,364.98,333.81,339.48,"187,245,000",31.170000000000016,-1.8702124584477398
"Oct 25, 2021",316.84,348.34,314.73,341.62,"188,556,300",33.60999999999996,0.6303758689760741
"Oct 22, 2021",298.50,303.33,296.99,303.23,"68,642,400",6.339999999999975,-11.237632457116087
"Oct 21, 2021",285.33,300.0,285.17,298.0,"94,444,500",14.829999999999984,-1.7247633809319707
"Oct 20, 2021",288.45,289.83,285.79,288.6,"42,096,300",4.039999999999964,-3.1543624161073702
"Oct 19, 2021",292.51,292.65,287.5,288.09,"52,143,300",5.149999999999977,-0.176715176715192
"Oct 18, 2021",283.93,291.75,283.82,290.04,"72,621,600",7.930000000000007,0.6768718108924432
"Oct 15, 2021",274.58,281.07,274.12,281.01,"56,773,800",6.949999999999989,-3.1133636739760107
"Oct 14, 2021",271.83,273.42,271.12,272.77,"36,741,600",2.3000000000000114,-2.9322799900359464
"Oct 13, 2021",270.16,271.8,268.59,270.36,"42,360,300",3.2100000000000364,-0.8835282472412498
"Oct 12, 2021",266.98,270.77,265.52,268.57,"66,060,000",5.25,-0.6620801893771344
"Oct 11, 2021",262.55,267.08,261.83,263.98,"42,600,900",5.25,-1.7090516438917125
"Oct 8, 2021",265.40,265.46,260.3,261.83,"50,215,800",5.159999999999968,-0.8144556405788483
"Oct 7, 2021",261.82,268.33,261.13,264.54,"57,587,400",7.199999999999989,1.0350227246686883
"Oct 6, 2021",258.73,262.22,257.74,260.92,"43,898,400",4.480000000000018,-1.368413094428067
